"Departamento","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023"
"Amazonas","0.58","3.03","3.51","5.41","7.86","8.28","9.64","11.19","12.91","13.96","14.83","16.52","17.37","18.70","19.77","18.79","19.84","22.90","24.83"
"Ancash","6.28","8.43","11.01","14.25","17.33","17.29","18.52","20.61","22.69","25.51","25.71","25.59","26.59","27.08","28.60","26.50","24.28","26.68","28.03"
"Apurímac","0.85","4.25","5.76","7.34","9.79","10.50","11.57","12.39","14.07","15.63","16.51","18.74","21.24","22.79","25.13","24.64","26.12","28.94","30.28"
"Arequipa","18.02","18.69","22.50","26.63","29.94","31.91","35.99","39.16","41.94","42.61","42.36","42.89","43.62","44.30","45.87","42.14","40.72","44.03","45.54"
"Ayacucho","2.25","3.84","5.49","7.20","11.43","12.37","13.20","13.98","14.71","16.58","17.27","18.88","20.61","21.28","22.42","20.49","21.48","23.47","24.16"
"Cajamarca","3.64","5.91","8.11","8.91","11.03","12.58","14.74","16.91","18.48","18.72","19.10","19.95","21.36","22.71","24.87","23.56","22.90","25.63","27.10"
"Callao","1.88","3.14","8.62","10.90","17.75","17.81","21.69","22.88","24.82","26.07","24.74","24.67","25.43","27.88","29.28","25.46","23.98","27.76","26.14"
"Cusco","8.23","7.86","9.83","11.50","14.85","17.16","19.11","20.68","23.57","26.71","27.40","29.79","32.34","33.75","36.39","34.36","35.28","37.79","39.26"
"Huancavelica","1.53","2.46","3.08","3.76","5.76","6.60","7.67","8.18","8.72","8.89","9.29","9.95","10.49","11.10","11.56","10.75","10.76","12.11","12.75"
"Huánuco","3.88","3.43","4.50","5.90","10.31","11.91","14.27","15.86","17.95","19.29","19.92","20.13","21.21","21.45","22.68","21.30","20.25","23.09","23.86"
"Ica","12.96","14.91","19.38","22.76","28.90","30.46","34.39","37.77","39.78","39.84","38.75","38.75","40.24","41.20","43.56","39.10","36.00","40.22","42.27"
"Junín","10.61","10.65","14.10","16.09","21.29","24.98","26.66","29.13","29.63","30.96","31.52","33.64","35.64","36.36","37.46","34.07","33.15","38.26","38.72"
"La Libertad","10.57","14.34","16.67","19.59","22.16","23.39","26.01","27.66","29.31","30.84","30.78","30.17","30.79","30.38","31.72","28.57","26.54","29.61","30.66"
"Lambayeque","9.75","16.01","18.45","22.63","25.70","27.24","30.15","31.63","32.55","34.22","34.63","36.28","37.68","37.87","40.33","36.83","34.83","38.54","39.46"
"Lima","40.60","41.24","41.59","45.31","38.26","41.52","43.48","45.42","47.83","48.84","48.15","49.46","49.16","49.63","52.57","49.56","47.71","52.40","53.13"
"Loreto","7.30","7.45","10.02","11.79","14.14","15.87","16.86","16.61","16.12","17.27","17.33","17.51","16.84","16.50","17.69","16.89","14.96","17.74","18.38"
"Madre de Dios","6.40","12.25","14.57","19.30","26.27","27.74","28.19","31.41","33.51","32.27","30.14","30.00","31.89","33.35","34.54","32.69","31.13","36.08","37.10"
"Moquegua","6.84","14.61","17.34","19.09","22.92","23.62","25.93","28.57","29.75","30.35","30.15","32.96","35.11","37.80","39.28","36.07","34.86","38.58","40.21"
"Pasco","2.22","3.66","5.85","7.11","10.11","11.04","13.26","13.99","15.94","16.96","17.46","19.36","20.26","21.68","22.59","20.70","20.27","23.02","23.90"
"Piura","19.13","15.77","19.38","23.54","25.99","27.69","30.59","32.54","33.48","34.42","34.51","36.48","39.08","40.45","41.64","38.08","36.06","39.49","40.74"
"Puno","3.45","7.92","9.44","11.22","14.17","16.02","18.29","20.81","22.73","23.81","22.94","23.80","25.56","26.27","27.45","25.86","25.61","27.23","27.19"
"San Martín","7.62","7.65","8.51","10.38","13.70","15.63","18.21","20.25","19.87","20.58","20.34","21.22","22.25","22.63","24.60","23.42","21.94","25.17","26.26"
"Tacna","13.37","13.78","16.67","18.79","26.00","29.69","32.67","35.15","36.21","36.62","36.46","37.45","39.67","41.78","44.43","41.25","39.20","40.83","41.57"
"Tumbes","11.62","14.36","16.78","20.58","27.67","29.56","31.81","33.24","33.99","35.27","34.82","35.45","35.97","36.89","38.76","36.02","33.35","38.37","39.43"
"Ucayali","5.48","6.67","10.47","12.94","16.88","19.35","21.59","24.75","25.25","27.32","26.34","25.65","25.57","25.29","26.46","26.00","25.11","29.30","30.56"
"Nacional","16.95","18.34","19.74","22.28","23.11","25.10","26.98","28.73","29.98","31.03","31.00","31.74","32.62","33.25","35.00","32.85","31.74","34.37","35.11"
